,Census Name,Code
621,"Santa Rosa-Petaluma, CA Metro Area",34433
622,"Santa Rosa-Petaluma, CA Metro Area",35525
623,"Sault Ste. Marie, MI Micro Area",31013
624,"Savannah, GA Metro Area",34685
625,"Scottsbluff, NE Micro Area",30558
626,"Scottsboro, AL Micro Area",36716
627,"Searcy, AR Micro Area",34975
628,"Seattle-Tacoma-Bellevue, WA Metro Area",30559
629,"Seattle-Tacoma-Bellevue, WA Metro Area",31979
630,"Sebastian-Vero Beach, FL Metro Area",31383
631,"Sebastian-Vero Beach, FL Metro Area",35628
632,"Sebring-Avon Park, FL Metro Area",30433
633,"Sebring-Avon Park, FL Metro Area",34750
634,"Sedalia, MO Micro Area",31349
635,"Selinsgrove, PA Micro Area",34751
636,"Selma, AL Micro Area",34753
637,"Seneca Falls, NY Micro Area",36694
638,"Sevierville, TN Micro Area",36501
639,"Seymour, IN Micro Area",34756
640,"Shawnee, OK Micro Area",34916
641,"Sheboygan, WI Metro Area",34695
642,"Shelby, NC Micro Area",33621
643,"Shelton, WA Micro Area",34810
644,"Sheridan, WY Micro Area",34812
645,"Show Low, AZ Micro Area",34943
646,"Shreveport-Bossier City, LA Metro Area",30476
647,"Sierra Vista-Douglas, AZ Metro Area",31440
648,"Sikeston, MO Micro Area",34822
649,"Sioux City, IA-NE-SD Metro Area",35048
650,"Sioux Falls, SD Metro Area",31775
651,"Snyder, TX Micro Area",34915
652,"Somerset, KY Micro Area",34892
653,"South Bend-Mishawaka, IN-MI Metro Area",34696
654,"Spearfish, SD Micro Area",34949
655,"Spencer, IA Micro Area",34962
656,"Spokane-Spokane Valley, WA Metro Area",31884
657,"Springfield, IL Metro Area",34952
658,"Springfield, MO Metro Area",34783
659,"Springfield, OH Metro Area",34785
660,"St. Cloud, MN Metro Area",32556
661,"St. George, UT Metro Area",34794
662,"St. Joseph, MO-KS Metro Area",35014
663,"St. Louis, MO-IL Metro Area",31123
664,"St. Marys, PA Micro Area",35021
665,"Starkville, MS Micro Area",35011
666,"Statesboro, GA Micro Area",35141
667,"Staunton, VA Metro Area",34802
668,"Steamboat Springs, CO Micro Area",34699
669,"Sterling, CO Micro Area",35015
670,"Stillwater, OK Micro Area",35074
671,"Stockton, CA Metro Area",34716
672,"Storm Lake, IA Micro Area",34868
673,"Sturgis, MI Micro Area",32378
674,"Sulphur Springs, TX Micro Area",34881
675,"Sumter, SC Metro Area",34993
676,"Sweetwater, TX Micro Area",35078
677,"Syracuse, NY Metro Area",35096
678,"Talladega-Sylacauga, AL Micro Area",30380
679,"Talladega-Sylacauga, AL Micro Area",36763
680,"Tallahassee, FL Metro Area",35249
681,"Tampa-St. Petersburg-Clearwater, FL Metro Area",33195
682,"Taos, NM Micro Area",35342
683,"Terre Haute, IN Metro Area",32228
684,"Texarkana, TX-AR Metro Area",35401
685,"The Dalles, OR Micro Area",31342
686,"Thomaston, GA Micro Area",36761
687,"Tifton, GA Micro Area",35259
688,"Toledo, OH Metro Area",35165
689,"Topeka, KS Metro Area",31726
690,"Traverse City, MI Micro Area",35380
691,"Trenton-Princeton, NJ Metro Area",34044
692,"Trenton-Princeton, NJ Metro Area",35356
693,"Troy, AL Micro Area",36523
694,"Truckee-Grass Valley, CA Micro Area",34427
695,"Truckee-Grass Valley, CA Micro Area",35232
696,"Tucson, AZ Metro Area",30436
697,"Tullahoma-Manchester, TN Micro Area",35195
698,"Tulsa, OK Metro Area",34653
699,"Tupelo, MS Micro Area",35374
700,"Tuscaloosa, AL Metro Area",35153
701,"Twin Falls, ID Metro Area",35389
702,"Tyler, TX Metro Area",35411
703,"Ukiah, CA Micro Area",35458
704,"Union City, TN Micro Area",35433
705,"Urban Honolulu, HI Metro Area",32134
706,"Utica-Rome, NY Metro Area",34553
707,"Utica-Rome, NY Metro Area",35431
708,"Uvalde, TX Micro Area",35511
709,"Valdosta, GA Metro Area",35550
710,"Vernal, UT Micro Area",35582
711,"Vicksburg, MS Micro Area",35605
712,"Victoria, TX Metro Area",35569
713,"Vidalia, GA Micro Area",35574
714,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",33667
715,"Visalia, CA Metro Area",35601
716,"Waco, TX Metro Area",30155
717,"Walla Walla, WA Metro Area",30275
718,"Wapakoneta, OH Micro Area",30454
719,"Warsaw, IN Micro Area",35714
720,"Washington Court House, OH Micro Area",33833
721,"Washington, IN Micro Area",36882
722,"Washington, NC Micro Area",33814
723,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",30852
724,"Waterloo-Cedar Falls, IA Metro Area",30268
725,"Watertown, SD Micro Area",30409
726,"Watertown-Fort Drum, NY Metro Area",30361
727,"Watertown-Fort Drum, NY Metro Area",31391
728,"Waycross, GA Micro Area",30460
729,"Wenatchee, WA Metro Area",31470
730,"Wheeling, WV-OH Metro Area",32153
731,"Wichita Falls, TX Metro Area",34960
732,"Wichita, KS Metro Area",30928
733,"Williamsport, PA Metro Area",32365
734,"Williston, ND Micro Area",32389
735,"Willmar, MN Micro Area",32322
736,"Wilmington, NC Metro Area",32323
737,"Wilmington, OH Micro Area",32324
738,"Winchester, VA-WV Metro Area",35749
739,"Winfield, KS Micro Area",34940
740,"Winnemucca, NV Micro Area",35791
741,"Winona, MN Micro Area",33881
742,"Wisconsin Rapids-Marshfield, WI Micro Area",32396
743,"Wisconsin Rapids-Marshfield, WI Micro Area",33260
744,"Woodward, OK Micro Area",35886
745,"Wooster, OH Micro Area",30632
746,"Worcester, MA-CT Metro Area",33933
747,"Worthington, MN Micro Area",33963
748,"Yakima, WA Metro Area",36101
749,"Yankton, SD Micro Area",36102
750,"York-Hanover, PA Metro Area",35203
751,"Youngstown-Warren-Boardman, OH-PA Metro Area",36133
752,"Yuma, AZ Metro Area",33785
753,"Zanesville, OH Micro Area",36361
