,Census Name,Code
144,"Connersville, IN Micro Area",30946
145,"Cookeville, TN Micro Area",35537
146,"Corinth, MS Micro Area",31147
147,"Corpus Christi, TX Metro Area",31140
148,"Corsicana, TX Micro Area",31143
149,"Cortland, NY Micro Area",31174
150,"Corvallis, OR Metro Area",31198
151,"Craig, CO Micro Area",31004
152,"Crescent City, CA Micro Area",30930
153,"Crestview-Fort Walton Beach-Destin, FL Metro Area",30947
154,"Crestview-Fort Walton Beach-Destin, FL Metro Area",31421
155,"Crossville, TN Micro Area",31159
156,"Cullman, AL Micro Area",36783
157,"Cumberland, MD-WV Metro Area",30888
158,"Dallas-Fort Worth-Arlington, TX Metro Area",30194
159,"Dallas-Fort Worth-Arlington, TX Metro Area",32598
160,"Dalton, GA Metro Area",31359
161,"Danville, IL Metro Area",31363
162,"Danville, KY Micro Area",32859
163,"Danville, VA Micro Area",31261
164,"Daphne-Fairhope-Foley, AL Metro Area",36487
165,"Dayton, TN Micro Area",36863
166,"Dayton-Kettering, OH Metro Area",31267
167,"Decatur, AL Metro Area",31282
168,"Decatur, IL Metro Area",31288
169,"Defiance, OH Micro Area",31297
170,"Del Rio, TX Micro Area",31335
171,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",31252
172,"Deming, NM Micro Area",31348
173,"Denver-Aurora-Lakewood, CO Metro Area",30325
174,"Des Moines-West Des Moines, IA Metro Area",31423
175,"Detroit-Warren-Dearborn, MI Metro Area",31295
176,"Dickinson, ND Micro Area",31315
177,"Dodge City, KS Micro Area",31283
178,"Dothan, AL Metro Area",31308
179,"Dover, DE Metro Area",31375
180,"DuBois, PA Micro Area",31441
181,"Dublin, GA Micro Area",31272
182,"Dubuque, IA Metro Area",31274
183,"Duluth, MN-WI Metro Area",31337
184,"Dumas, TX Micro Area",36826
185,"Duncan, OK Micro Area",31436
186,"Durango, CO Micro Area",30285
187,"Durant, OK Micro Area",31434
188,"Durham-Chapel Hill, NC Metro Area",32303
189,"Dyersburg, TN Micro Area",35275
190,"Eagle Pass, TX Micro Area",31506
191,"Easton, MD Micro Area",31592
192,"Eau Claire, WI Metro Area",31471
193,"Effingham, IL Micro Area",36721
194,"El Centro, CA Metro Area",32363
195,"El Dorado, AR Micro Area",31531
196,"El Paso, TX Metro Area",30615
197,"Elizabeth City, NC Micro Area",31479
198,"Elizabethtown-Fort Knox, KY Metro Area",31526
199,"Elizabethtown-Fort Knox, KY Metro Area",31785
200,"Elkhart-Goshen, IN Metro Area",31523
201,"Elkhart-Goshen, IN Metro Area",31994
202,"Elkins, WV Micro Area",31524
203,"Elko, NV Micro Area",31525
204,"Ellensburg, WA Micro Area",31538
205,"Emporia, KS Micro Area",31553
206,"Enid, OK Metro Area",31557
207,"Enterprise, AL Micro Area",31598
208,"Erie, PA Metro Area",31577
209,"Escanaba, MI Micro Area",31587
210,"Eufaula, AL-GA Micro Area",31602
211,"Eugene-Springfield, OR Metro Area",31603
212,"Eureka-Arcata, CA Micro Area",30157
213,"Evanston, WY Micro Area",31613
214,"Evansville, IN-KY Metro Area",31612
215,"Fairbanks, AK Metro Area",31517
216,"Fairfield, IA Micro Area",36792
217,"Fairmont, MN Micro Area",31766
218,"Fallon, NV Micro Area",31706
219,"Fargo, ND-MN Metro Area",31637
220,"Farmington, MO Micro Area",31634
221,"Farmington, NM Metro Area",31711
222,"Fayetteville, NC Metro Area",31641
223,"Fayetteville-Springdale-Rogers, AR Metro Area",31834
224,"Fayetteville-Springdale-Rogers, AR Metro Area",34577
225,"Fayetteville-Springdale-Rogers, AR Metro Area",34964
226,"Fergus Falls, MN Micro Area",31667
227,"Findlay, OH Micro Area",31659
228,"Flagstaff, AZ Metro Area",31695
229,"Flint, MI Metro Area",31721
230,"Florence, SC Metro Area",31699
231,"Florence-Muscle Shoals, AL Metro Area",33484
232,"Fort Collins, CO Metro Area",31782
233,"Fort Dodge, IA Micro Area",31725
234,"Fort Leonard Wood, MO Micro Area",35138
235,"Fort Madison-Keokuk, IA-IL-MO Micro Area",31566
236,"Fort Madison-Keokuk, IA-IL-MO Micro Area",31713
237,"Fort Payne, AL Micro Area",36782
238,"Fort Smith, AR-OK Metro Area",31778
239,"Fort Wayne, IN Metro Area",31823
240,"Frankfort, KY Micro Area",31669
241,"Fredericksburg, TX Micro Area",36905
242,"Freeport, IL Micro Area",31662
243,"Fremont, NE Micro Area",31663
244,"Fremont, OH Micro Area",36456
245,"Fresno, CA Metro Area",31638
246,"Gadsden, AL Metro Area",31840
247,"Gainesville, FL Metro Area",31953
248,"Gainesville, GA Metro Area",32028
249,"Gainesville, TX Micro Area",36642
250,"Galesburg, IL Micro Area",31858
251,"Gallup, NM Micro Area",32018
252,"Garden City, KS Micro Area",31867
253,"Georgetown, SC Micro Area",31904
254,"Gettysburg, PA Metro Area",36664
255,"Gillette, WY Micro Area",31865
256,"Glasgow, KY Micro Area",31942
257,"Glens Falls, NY Metro Area",31899
258,"Glenwood Springs, CO Micro Area",32041
259,"Goldsboro, NC Metro Area",31992
260,"Granbury, TX Micro Area",36914
261,"Grand Forks, ND-MN Metro Area",31898
262,"Grand Island, NE Metro Area",31980
263,"Grand Junction, CO Metro Area",31921
264,"Grand Rapids, MN Micro Area",31974
265,"Grand Rapids-Kentwood, MI Metro Area",31986
266,"Grants Pass, OR Metro Area",33925
267,"Grants, NM Micro Area",36722
268,"Great Bend, KS Micro Area",31856
269,"Great Falls, MT Metro Area",31895
270,"Greeley, CO Metro Area",34660
271,"Green Bay, WI Metro Area",31977
272,"Greeneville, TN Micro Area",31870
273,"Greensboro-High Point, NC Metro Area",31995
274,"Greenville, MS Micro Area",31931
275,"Greenville, NC Metro Area",34092
276,"Greenville-Anderson, SC Metro Area",30300
277,"Greenville-Anderson, SC Metro Area",31871
278,"Greenwood, MS Micro Area",32039
279,"Greenwood, SC Micro Area",31978
280,"Grenada, MS Micro Area",33478
281,"Gulfport-Biloxi, MS Metro Area",30629
282,"Gulfport-Biloxi, MS Metro Area",31973
283,"Guymon, OK Micro Area",32024
284,"Hagerstown-Martinsburg, MD-WV Metro Area",32119
285,"Hagerstown-Martinsburg, MD-WV Metro Area",33463
286,"Hammond, LA Metro Area",36544
287,"Hanford-Corcoran, CA Metro Area",35649
288,"Harrisburg-Carlisle, PA Metro Area",32070
289,"Harrisburg-Carlisle, PA Metro Area",36509
290,"Harrison, AR Micro Area",32207
291,"Hartford-East Hartford-Middletown, CT Metro Area",30529
292,"Hastings, NE Micro Area",32212
293,"Hays, KS Micro Area",32255
294,"Heber, UT Micro Area",35498
295,"Helena, MT Micro Area",32156
296,"Hereford, TX Micro Area",36675
297,"Hermiston-Pendleton, OR Micro Area",32103
298,"Hermiston-Pendleton, OR Micro Area",34054
299,"Hickory-Lenoir-Morganton, NC Metro Area",32149
300,"Hickory-Lenoir-Morganton, NC Metro Area",33470
301,"Hilo, HI Micro Area",32402
302,"Hinesville, GA Metro Area",32995
303,"Hobbs, NM Micro Area",32177
304,"Holland, MI Micro Area",32155
305,"Hot Springs, AR Metro Area",32190
306,"Houma-Thibodaux, LA Metro Area",32233
307,"Houston-The Woodlands-Sugar Land, TX Metro Area",31453
308,"Houston-The Woodlands-Sugar Land, TX Metro Area",34792
309,"Hudson, NY Micro Area",30010
310,"Huntington-Ashland, WV-KY-OH Metro Area",32223
311,"Huntington-Ashland, WV-KY-OH Metro Area",36754
312,"Huntsville, AL Metro Area",30255
313,"Huntsville, TX Micro Area",36910
314,"Huron, SD Micro Area",32185
315,"Hutchinson, KS Micro Area",32236
316,"Idaho Falls, ID Metro Area",32280
317,"Indiana, PA Micro Area",32281
318,"Indianapolis-Carmel-Anderson, IN Metro Area",30223
319,"Indianapolis-Carmel-Anderson, IN Metro Area",32337
320,"Iowa City, IA Metro Area",32358
321,"Jackson, MI Metro Area",32576
322,"Jackson, TN Metro Area",33348
323,"Jackson, WY-ID Micro Area",32441
324,"Jacksonville, FL Metro Area",31136
325,"Jacksonville, IL Micro Area",32310
326,"Jacksonville, TX Micro Area",32508
327,"Jamestown, ND Micro Area",32519
328,"Jamestown-Dunkirk-Fredonia, NY Micro Area",31331
329,"Jamestown-Dunkirk-Fredonia, NY Micro Area",32494
330,"Janesville-Beloit, WI Metro Area",32571
331,"Jasper, AL Micro Area",36652
332,"Jefferson, GA Micro Area",36467
333,"Johnstown, PA Metro Area",32559
334,"Jonesboro, AR Metro Area",32455
335,"Joplin, MO Metro Area",32511
336,"Juneau, AK Micro Area",32523
337,"Kahului-Wailuku-Lahaina, HI Metro Area",32492
338,"Kahului-Wailuku-Lahaina, HI Metro Area",33830
339,"Kalamazoo-Portage, MI Metro Area",30469
340,"Kalispell, MT Micro Area",31648
341,"Kankakee, IL Metro Area",32314
342,"Kansas City, MO-KS Metro Area",32637
343,"Kansas City, MO-KS Metro Area",33198
344,"Kearney, NE Micro Area",31468
345,"Keene, NH Micro Area",31493
346,"Kennett, MO Micro Area",32753
347,"Kennewick-Richland, WA Metro Area",34548
348,"Kennewick-Richland, WA Metro Area",36356
349,"Kerrville, TX Micro Area",31582
350,"Ketchikan, AK Micro Area",31401
351,"Key West, FL Micro Area",31624
352,"Killeen-Temple, TX Metro Area",31982
353,"Killeen-Temple, TX Metro Area",35310
354,"Kingston, NY Metro Area",33781
355,"Kingsville, TX Micro Area",33733
356,"Kinston, NC Micro Area",32390
357,"Kirksville, MO Micro Area",32375
358,"Klamath Falls, OR Micro Area",33024
359,"Knoxville, TN Metro Area",35412
360,"La Crosse-Onalaska, WI-MN Metro Area",33076
361,"La Grande, OR Micro Area",32956
362,"LaGrange, GA-AL Micro Area",32955
